p_loss_bad,p_g2b,p_b2g,rms_mean,rms_std,tx_rate_mean,bits_mean,energy_mean,fail_rate,avg_qerr
0.3,0.01,0.2,12572.506540644714,17.054585254342417,0.9636499999999999,185020.8,7829.348198490382,1.0,41187923.85449637
0.3,0.02,0.1,12563.855564869267,19.808968921469198,0.9644833333333332,185180.8,7825.549997466855,1.0,41132179.376501404
0.3,0.05,0.05,12543.408067285649,24.319978239757923,0.9664333333333334,185555.2,7817.797438848221,1.0,41014505.85664721
0.5,0.01,0.2,12553.73697932744,47.96255495781716,0.9635166666666667,184995.2,7824.136364818953,1.0,41034123.506887585
0.5,0.02,0.1,12493.430034114508,74.64074002194796,0.9649500000000001,185270.4,7808.091829882424,1.0,40594338.98404833
0.5,0.05,0.05,12401.335517297613,99.03238230241854,0.9683333333333334,185920.0,7788.805877550638,1.0,40124122.99988013
0.7,0.01,0.2,12540.764979975955,49.021987052305526,0.964,185088.0,7824.139719292299,1.0,40920267.40466857
0.7,0.02,0.1,12336.256194848142,158.8488769488483,0.9666333333333335,185593.6,7807.278085536887,1.0,39501956.02493158
0.7,0.05,0.05,11897.45177953875,178.61882810796547,0.9727666666666668,186771.2,7768.0962626925175,1.0,36685143.56780536
