p_loss_bad,delta,rms_mean,rms_std,J_mean,J_std,bits_mean,bits_std
0.1,0.01,12590.397218382735,15.03696630652576,3162459796450.9546,7555057422.365394,192000.0,0.0
0.1,0.03162277660168379,12590.397218382735,15.03696630652576,3162459796450.9546,7555057422.365394,192000.0,0.0
0.1,0.1,12588.620944339324,13.840961712663756,3161566526221.591,6954133739.111837,191985.6,35.16936465912223
0.1,0.31622776601683794,12582.789556125792,12.98811732784671,3158636052241.1455,6522697286.040562,189460.8,499.77780326018785
0.1,1.0,273.6161864211351,1220.8196024681802,29722434692.560646,132922730941.89883,6062.4,27111.877013589452
0.1,3.1622776601683795,0.6326244828230064,0.0,8478.460596232511,1.866243750710335e-12,0.0,0.0
0.3,0.01,12580.570190196926,17.49009350836263,3157530709919.0825,8777481695.716543,192000.0,0.0
0.3,0.03162277660168379,12580.570190196926,17.49009350836263,3157530709919.0825,8777481695.716543,192000.0,0.0
0.3,0.1,12580.811819254752,18.24028510127345,3157652584258.927,9156592393.571878,191971.2,45.13558521423622
0.3,0.31622776601683794,12572.624564909407,25.34057940778854,3153548610344.0557,12693070133.704927,189379.2,431.69111764389083
0.3,1.0,273.6218677738962,1220.845010250136,29723667854.837456,132928245811.25536,6062.4,27111.877013589452
0.3,3.1622776601683795,0.6326244828230064,0.0,8478.460596232511,1.866243750710335e-12,0.0,0.0
0.5,0.01,12528.33168674582,55.86866885748381,3131424498662.749,27861046856.74373,192000.0,0.0
0.5,0.03162277660168379,12528.33168674582,55.86866885748381,3131424498662.749,27861046856.74373,192000.0,0.0
0.5,0.1,12528.885235429632,56.59054946350721,3131702906507.263,28224441754.174248,191956.8,72.87884683355983
0.5,0.31622776601683794,12547.394574182945,35.208553420774905,3140929577600.377,17607166716.079113,189374.4,504.4148668454735
0.5,1.0,273.6294168777654,1220.8787708689774,29725307302.84607,132935577645.64104,6062.4,27111.877013589452
0.5,3.1622776601683795,0.6326244828230064,0.0,8478.460596232511,1.866243750710335e-12,0.0,0.0
0.7,0.01,12359.505079599505,139.70539014007502,3047911662442.653,68864187541.1286,192000.0,0.0
0.7,0.03162277660168379,12359.505079599505,139.70539014007502,3047911662442.653,68864187541.1286,192000.0,0.0
0.7,0.1,12385.582037399667,144.01110983549995,3060812628262.718,71007258490.96054,191952.0,66.07173135472179
0.7,0.31622776601683794,12426.544011782644,108.85951681956129,3080927089159.169,53736340921.954056,189355.2,542.5888818772848
0.7,1.0,272.6995017024276,1216.7200637782496,29523311704.073597,132032225865.619,6062.4,27111.877013589452
0.7,3.1622776601683795,0.6326244828230064,0.0,8478.460596232511,1.866243750710335e-12,0.0,0.0
0.9,0.01,11695.547690453433,496.7428098413544,2733577789298.117,229032971633.13257,192000.0,0.0
0.9,0.03162277660168379,11695.547690453433,496.7428098413544,2733577789298.117,229032971633.13257,192000.0,0.0
0.9,0.1,11692.168469131497,483.44650298127203,2731753450416.1226,222563179403.93167,191956.8,49.00010741126789
0.9,0.31622776601683794,11807.80521903292,317.918021350208,2783470757671.881,150138492278.79294,189331.2,413.9089144651082
0.9,1.0,272.5682749323658,1216.1331998215974,29494844869.760212,131904918312.36108,6062.4,27111.877013589452
0.9,3.1622776601683795,0.6326244828230064,0.0,8478.460596232511,1.866243750710335e-12,0.0,0.0
